word,sentence1,sentence2,cosine_similarity,label
place,"['do', 'you', 'want', 'to', 'come', 'over', 'to', 'my', 'place', 'later']","['a', 'political', 'system', 'with', 'no', 'place', 'for', 'the', 'less', 'prominent', 'groups']",0.6467532515525818,0
act,"['the', 'governor', 'should', 'act', 'on', 'the', 'new', 'energy', 'bill']","['think', 'before', 'you', 'act']",0.862817108631134,1
cover,"['cover', 'her', 'face', 'with', 'a', 'handkerchief']","['count', 'the', 'cash', 'in', 'the', 'drawer', 'twice', 'just', 'to', 'cover', 'yourself']",0.6507629156112671,0
finish,"['the', 'boat', 'had', 'a', 'metallic', 'finish']","['he', 'applied', 'a', 'coat', 'of', 'a', 'clear', 'finish']",0.7297958731651306,1
head,"['under', 'the', 'head', 'of', 'minor', 'roman', 'poets']","['they', 'tracked', 'him', 'back', 'toward', 'the', 'head', 'of', 'the', 'stream']",0.9085626602172852,0
flux,"['it', 'is', 'important', 'to', 'use', 'flux', 'when', 'soldering', 'or', 'oxides', 'on', 'the', 'metal', 'will', 'prevent', 'a', 'good', 'bond']","['his', 'opinions', 'are', 'in', 'flux']",0.5583558678627014,0
hold,"['he', 'can', 'hold', 'his', 'liquor']","['the', 'auditorium', 'cant', 'hold', 'more', 'than', '500', 'people']",0.6967723369598389,0
line,"['the', 'line', 'stretched', 'clear', 'around', 'the', 'corner']","['you', 'must', 'wait', 'in', 'a', 'long', 'line', 'at', 'the', 'checkout', 'counter']",0.7090492248535156,1
action,"['the', 'united', 'nations', 'must', 'have', 'the', 'power', 'to', 'propose', 'and', 'organize', 'action', 'without', 'being', 'hobbled', 'by', 'irrelevant', 'issues']","['recent', 'federal', 'action', 'undermined', 'the', 'segregationist', 'position']",0.5784330368041992,1
beat,"['beat', 'ones', 'foot', 'rhythmically']","['i', 'beat', 'the', 'traffic']",0.36544370651245117,0
study,"['he', 'knocked', 'lightly', 'on', 'the', 'closed', 'door', 'of', 'the', 'study']","['he', 'is', 'a', 'quick', 'study']",0.5605010390281677,0
land,"['it', 'can', 'be', 'tricky', 'to', 'land', 'a', 'helicopter']","['use', 'the', 'net', 'to', 'land', 'the', 'fish']",0.3545580506324768,1
make,"['they', 'make', 'a', 'cute', 'couple']","['one', 'swallow', 'does', 'not', 'a', 'summer', 'make']",0.9466268420219421,1
material,"['she', 'was', 'vicepresidential', 'material']","['he', 'was', 'university', 'material']",0.7720199227333069,1
fatigue,"['he', 'was', 'suffering', 'from', 'museum', 'fatigue']","['the', 'american', 'public', 'is', 'experiencing', 'scandal', 'fatigue']",0.6884016990661621,1
fish,"['the', 'shark', 'is', 'a', 'large', 'fish']","['in', 'the', 'living', 'room', 'there', 'was', 'a', 'tank', 'of', 'colorful', 'fish']",0.7869314551353455,1
solution,"['the', 'solution', 'took', 'three', 'hours']","['they', 'were', 'trying', 'to', 'find', 'a', 'peaceful', 'solution']",0.48240232467651367,0
space,"['they', 'stopped', 'at', 'an', 'open', 'space', 'in', 'the', 'jungle']","['the', 'astronauts', 'walked', 'in', 'outer', 'space', 'without', 'a', 'tether']",0.8461405634880066,0
shot,"['he', 'is', 'still', 'recovering', 'from', 'a', 'shot', 'to', 'his', 'leg']","['i', 'caught', 'him', 'with', 'a', 'solid', 'shot', 'to', 'the', 'chin']",0.895050048828125,1
hit,"['he', 'hit', 'a', 'home', 'run']","['he', 'hit', '300', 'in', 'the', 'past', 'season']",0.8155983090400696,1
hit,"['the', 'ball', 'hit', 'the', 'fence']","['i', 'hit', 'the', 'jackpot']",0.5508230924606323,0
raise,"['raise', 'the', 'question', 'of', 'promotions']","['raise', 'from', 'the', 'dead']",0.8818703293800354,0
dent,"['it', 'made', 'a', 'dent', 'in', 'my', 'bank', 'account']","['the', 'crash', 'produced', 'a', 'dent', 'in', 'the', 'left', 'side', 'of', 'the', 'car']",0.7396280169487,0
voice,"['after', 'the', 'fire', 'a', 'still', 'small', 'voice', '1', 'kings', '1912']","['the', 'voice', 'of', 'the', 'law']",0.6404210329055786,0
use,"['use', 'the', 'plastic', 'bags', 'to', 'store', 'the', 'food']","['we', 'can', 'use', 'this', 'mathematical', 'formula', 'to', 'solve', 'the', 'problem']",0.823468029499054,1
cycle,"['the', 'cycle', 'of', 'the', 'seasons', 'or', 'of', 'the', 'year']","['the', 'neverending', 'cycle', 'of', 'the', 'seasons']",0.892469048500061,1
change,"['the', 'change', 'was', 'intended', 'to', 'increase', 'sales']","['this', 'storm', 'is', 'certainly', 'a', 'change', 'for', 'the', 'worse']",0.7086449861526489,1
baby,"['this', 'project', 'is', 'his', 'baby']","['stand', 'up', 'for', 'yourselfdont', 'be', 'such', 'a', 'baby']",0.7594847083091736,0
connection,"['the', 'connection', 'between', 'church', 'and', 'state', 'is', 'inescapable']","['my', 'headache', 'has', 'no', 'connection', 'with', 'me', 'going', 'out', 'last', 'night']",0.6670560836791992,1
